time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1724857696.13581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1724857696.2368639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1724857696.3312044,-1.066650821562227e-06,6.261988716114745e-06,0.0,0.0,0.0,2.119312284808452e-05,0.9999999997754258,-2.316647855107253e-05,0.00013600348337655817,0.0,0.0,0.0,0.004698892616518738
1724857696.4321752,-4.262001624237957e-05,0.0002663384129455303,0.0,0.0,0.0,0.0005568956564636421,0.9999998449336018,-0.0002630719954525975,0.0018643470834437275,0.0,0.0,0.0,0.003766083294367829
1724857696.5331225,-4.540626139635846e-05,0.0002841745072965142,0.0,0.0,0.0,0.0005757260699156703,0.9999998342697325,-0.00029020355292797256,0.0017034902331634976,0.0,0.0,0.0,0.003766083294367829
1724857696.6341982,-7.017830288625006e-05,0.000346968984715952,0.0,0.0,0.0,0.0010610091402378547,0.9999994371296438,0.0005247663722272668,-0.000852619164273822,0.0,0.0,0.0,0.0048728669205305815
1724857696.7350461,-2.526675117971579e-05,0.0002448611262775807,0.0,0.0,0.0,0.0012886154395357612,0.9999991697347799,0.00043211445557158267,-0.0013354630652404457,0.0,0.0,0.0,0.004917942429050058
1724857696.8359041,-3.243529570551473e-05,0.0001065426847925095,0.0,0.0,0.0,0.001546557475731251,0.999998804079272,-0.0005755853907364329,-0.0013013621823122535,0.0,0.0,0.0,0.005730053954162664
1724857696.9369085,0.009214968990073628,0.010500446259399093,0.0,0.0,0.0,0.001948217518696602,0.9999981022224491,0.022698069565314092,0.025906612289592304,0.0,0.0,0.0,0.006162197633223948
1724857697.0278358,0.009439829801118958,0.01075973956097727,0.0,0.0,0.0,0.0019790284474607072,0.9999980417212846,0.022475814773010062,0.025776423585621978,0.0,0.0,0.0,0.006162197633223948
1724857697.1303134,0.011456255625764933,0.013159406818060937,0.0,0.0,0.0,0.002258535364250886,0.9999974495057518,0.020801215494315232,0.025240956492764213,0.0,0.0,0.0,0.004384481277049729
1724857697.2322915,0.015274642852201634,0.018141996708929502,0.0,0.0,0.0,0.002786039152147171,0.9999961189853902,0.017719674317696863,0.024195949141983798,0.0,0.0,0.0,0.005649962226230657
1724857697.3332465,0.017000806351275766,0.02051371896632165,0.0,0.0,0.0,0.0030592431376812003,0.9999953205047635,0.01825063064667831,0.024652284253516753,0.0,0.0,0.0,0.004726089083469994
1724857697.4342537,0.014710717994992524,0.01304446679611773,0.0,0.0,0.0,0.0032137969400364776,0.9999948357412793,-0.00014127108865602352,-0.017325918989774453,0.0,0.0,0.0,0.006039607476172193
1724857697.5354555,0.014710015085674221,0.012871433122774244,0.0,0.0,0.0,0.003243994819996906,0.9999947382349609,-0.0002217447582458428,-0.017279197209783284,0.0,0.0,0.0,0.006039607476172193
1724857697.6363132,0.014581914236592266,0.009679201638466375,0.0,0.0,0.0,0.003832177254173529,0.9999926571817878,-0.0011150506998396006,-0.0162093601912424,0.0,0.0,0.0,0.005072169586291822
1724857697.7372081,0.014424445528078039,0.008105634576835628,0.0,0.0,0.0,0.004074693100818637,0.9999916984036088,-0.0024304891627937118,-0.0166750079227629,0.0,0.0,0.0,0.004689209829086679
1724857697.829262,0.014191644794696319,0.006408086207601714,0.0,0.0,0.0,0.004329234821643083,0.99999062881902,-0.0023802573492721145,-0.01591009883854839,0.0,0.0,0.0,0.0055028126394321315
1724857697.930187,0.013955817774551732,0.004905610803830688,0.0,0.0,0.0,0.004593205644689284,0.9999894511753139,-0.0028068141165438756,-0.015366882061685216,0.0,0.0,0.0,0.0035224497394414347
1724857698.0310252,0.013675532108128606,0.0033004585992214945,0.0,0.0,0.0,0.0047751018472549575,0.9999885991361843,-0.002906220798615962,-0.01566564571641636,0.0,0.0,0.0,0.004913097971219527
1724857698.1318984,0.013351837505943931,0.0018634314841050191,0.0,0.0,0.0,0.005011739413306386,0.9999874411551642,-0.0040989109329972176,-0.014104192345403796,0.0,0.0,0.0,0.006630830040825489
1724857698.232743,0.012905606509195363,0.0004948130354129141,0.0,0.0,0.0,0.005356121589889614,0.9999856558778802,-0.004756524611947408,-0.012159764410985796,0.0,0.0,0.0,0.0030560438498976163
1724857698.333827,0.020092972267134128,-0.004603273892918373,0.0,0.0,0.0,0.005599408671202944,0.9999843231883853,0.013180792478036935,-0.021924176337042446,0.0,0.0,0.0,0.022101279252224767
1724857698.4348972,0.02022655852874657,-0.0048214101238614505,0.0,0.0,0.0,0.005709913300662155,0.9999836983121769,0.013046218590315132,-0.02199953106666091,0.0,0.0,0.0,0.022101279252224767
1724857698.5359414,0.022665071435892036,-0.00908995734654375,0.0,0.0,0.0,0.00684980237496173,0.9999765398285222,0.013177972437154654,-0.023168025014654158,0.0,0.0,0.0,0.005719997197126121
1724857698.626908,0.024119455964043374,-0.011483443166159131,0.0,0.0,0.0,0.007144390451681823,0.9999744785168639,0.01442172391548856,-0.02368748013687551,0.0,0.0,0.0,0.004255958612138489
1724857698.7290611,0.023548294984768747,-0.005992821709078626,0.0,0.0,0.0,0.006791144119518762,0.9999769399148902,0.00405124115175287,0.017305913910573026,0.0,0.0,0.0,0.005608963072809281
1724857698.8299778,0.023904237571545642,-0.004203268242701216,0.0,0.0,0.0,0.0070835703385039635,0.9999749112009058,0.0032414116340045195,0.016922399305744948,0.0,0.0,0.0,0.005203672879068876
